model_name,batch_size,input_tokens,optimizer_name,experiment_type,safety_margin,safety_margin_percent,memory_limit_MB,actual_peak_reserved_MB,predicted_peak_reserved_MB,safe_predicted_reserved_MB,actual_peak_allocated_MB,predicted_peak_allocated_MB,actual_fits,predicted_fits,correct_prediction,dangerous_failure,conservative_failure,outcome
distilgpt2,1,128,adamw,distilgpt2_sequence_length_variation,0.0,0.0,1600,1726.0,1763.6171153906248,1763.6171153906248,1616.71,1632.978810546875,False,False,True,False,False,correct
distilgpt2,1,128,adamw,distilgpt2_sequence_length_variation,0.0,0.0,1700,1726.0,1763.6171153906248,1763.6171153906248,1616.71,1632.978810546875,False,False,True,False,False,correct
distilgpt2,1,128,adamw,distilgpt2_sequence_length_variation,0.0,0.0,1725,1726.0,1763.6171153906248,1763.6171153906248,1616.71,1632.978810546875,False,False,True,False,False,correct
distilgpt2,1,128,adamw,distilgpt2_sequence_length_variation,0.0,0.0,1750,1726.0,1763.6171153906248,1763.6171153906248,1616.71,1632.978810546875,True,False,False,False,True,conservative_overprediction
distilgpt2,1,128,adamw,distilgpt2_sequence_length_variation,0.0,0.0,1800,1726.0,1763.6171153906248,1763.6171153906248,1616.71,1632.978810546875,True,True,True,False,False,correct
distilgpt2,1,128,adamw,distilgpt2_sequence_length_variation,0.0,0.0,2048,1726.0,1763.6171153906248,1763.6171153906248,1616.71,1632.978810546875,True,True,True,False,False,correct
distilgpt2,1,128,adamw,distilgpt2_sequence_length_variation,0.0,0.0,4096,1726.0,1763.6171153906248,1763.6171153906248,1616.71,1632.978810546875,True,True,True,False,False,correct
distilgpt2,1,128,adamw,distilgpt2_sequence_length_variation,0.0,0.0,8192,1726.0,1763.6171153906248,1763.6171153906248,1616.71,1632.978810546875,True,True,True,False,False,correct
distilgpt2,1,128,adamw,distilgpt2_sequence_length_variation,0.05,5.0,512,1726.0,1763.6171153906248,1851.797971160156,1616.71,1632.978810546875,False,False,True,False,False,correct
distilgpt2,1,128,adamw,distilgpt2_sequence_length_variation,0.05,5.0,768,1726.0,1763.6171153906248,1851.797971160156,1616.71,1632.978810546875,False,False,True,False,False,correct
distilgpt2,1,128,adamw,distilgpt2_sequence_length_variation,0.05,5.0,1024,1726.0,1763.6171153906248,1851.797971160156,1616.71,1632.978810546875,False,False,True,False,False,correct
distilgpt2,1,128,adamw,distilgpt2_sequence_length_variation,0.05,5.0,1200,1726.0,1763.6171153906248,1851.797971160156,1616.71,1632.978810546875,False,False,True,False,False,correct
distilgpt2,1,128,adamw,distilgpt2_sequence_length_variation,0.05,5.0,1400,1726.0,1763.6171153906248,1851.797971160156,1616.71,1632.978810546875,False,False,True,False,False,correct
distilgpt2,1,128,adamw,distilgpt2_sequence_length_variation,0.05,5.0,1500,1726.0,1763.6171153906248,1851.797971160156,1616.71,1632.978810546875,False,False,True,False,False,correct
distilgpt2,1,128,adamw,distilgpt2_sequence_length_variation,0.05,5.0,1600,1726.0,1763.6171153906248,1851.797971160156,1616.71,1632.978810546875,False,False,True,False,False,correct
distilgpt2,1,128,adamw,distilgpt2_sequence_length_variation,0.05,5.0,1700,1726.0,1763.6171153906248,1851.797971160156,1616.71,1632.978810546875,False,False,True,False,False,correct
distilgpt2,1,128,adamw,distilgpt2_sequence_length_variation,0.05,5.0,1725,1726.0,1763.6171153906248,1851.797971160156,1616.71,1632.978810546875,False,False,True,False,False,correct
distilgpt2,1,128,adamw,distilgpt2_sequence_length_variation,0.05,5.0,1750,1726.0,1763.6171153906248,1851.797971160156,1616.71,1632.978810546875,True,False,False,False,True,conservative_overprediction
distilgpt2,1,128,adamw,distilgpt2_sequence_length_variation,0.05,5.0,1800,1726.0,1763.6171153906248,1851.797971160156,1616.71,1632.978810546875,True,False,False,False,True,conservative_overprediction
distilgpt2,1,128,adamw,distilgpt2_sequence_length_variation,0.05,5.0,2048,1726.0,1763.6171153906248,1851.797971160156,1616.71,1632.978810546875,True,True,True,False,False,correct
distilgpt2,1,128,adamw,distilgpt2_sequence_length_variation,0.05,5.0,4096,1726.0,1763.6171153906248,1851.797971160156,1616.71,1632.978810546875,True,True,True,False,False,correct
distilgpt2,1,128,adamw,distilgpt2_sequence_length_variation,0.05,5.0,8192,1726.0,1763.6171153906248,1851.797971160156,1616.71,1632.978810546875,True,True,True,False,False,correct
distilgpt2,1,128,adamw,distilgpt2_sequence_length_variation,0.1,10.0,512,1726.0,1763.6171153906248,1939.9788269296873,1616.71,1632.978810546875,False,False,True,False,False,correct
distilgpt2,1,128,adamw,distilgpt2_sequence_length_variation,0.1,10.0,768,1726.0,1763.6171153906248,1939.9788269296873,1616.71,1632.978810546875,False,False,True,False,False,correct
distilgpt2,1,128,adamw,distilgpt2_sequence_length_variation,0.1,10.0,1024,1726.0,1763.6171153906248,1939.9788269296873,1616.71,1632.978810546875,False,False,True,False,False,correct
distilgpt2,1,128,adamw,distilgpt2_sequence_length_variation,0.1,10.0,1200,1726.0,1763.6171153906248,1939.9788269296873,1616.71,1632.978810546875,False,False,True,False,False,correct
distilgpt2,1,128,adamw,distilgpt2_sequence_length_variation,0.1,10.0,1400,1726.0,1763.6171153906248,1939.9788269296873,1616.71,1632.978810546875,False,False,True,False,False,correct
